POP,NAME,MONTHLY,us
331449281,United States,2,1
331422430,United States,3,1
331447040,United States,4,1
331501080,United States,5,1
331563067,United States,6,1
331625760,United States,7,1
331700608,United States,8,1
331751104,United States,9,1
331753003,United States,10,1
331696751,United States,11,1
331703870,United States,12,1
331712214,United States,13,1
331708842,United States,14,1
331729123,United States,15,1
331798261,United States,16,1
331893745,United States,17,1
331997142,United States,18,1
332100018,United States,19,1
332211826,United States,20,1
332319775,United States,21,1
332382832,United States,22,1
332403650,United States,23,1
332471147,United States,24,1
332535856,United States,25,1
332595523,United States,26,1
332637844,United States,27,1
332725203,United States,28,1
332838183,United States,29,1
332941581,United States,30,1
333044456,United States,31,1
333156263,United States,32,1
333264212,United States,33,1
333327270,United States,34,1
